;[mm];[1/m2];[mm];[-];[-];[-];[mm/hour];[mm/hour];[-];[-];[mm];[-];[mm];[-]
lu_id;z_soil;dmpv;lmpv;theta_ac;theta_ufc;theta_pwp;ks;kf;theta_eff;frac_lp;z_root;c_root;S_int_ground_tot;c_int
60;1000;228;1538;0.107602455;0.09709532;0.23239388;24.929457;2500;0.20469777;0.525665;772.2971;1.9307427;596.8156;1.4920391
60;1000;228;1538;0.107602455;0.09709532;0.23239388;24.929457;2500;0.20469777;0.525665;772.2971;1.9307427;373.3467;0.9333668
60;1000;228;1538;0.107602455;0.09709532;0.23239388;24.929457;2500;0.20469777;0.525665;773.6955;1.9342388;596.8156;1.4920391
60;1000;221;1538;0.107602455;0.09709532;0.23239388;24.929457;2500;0.20469777;0.525665;772.2971;1.9307427;596.8156;1.4920391
60;1000;228;1792;0.107602455;0.09709532;0.23239388;24.929457;2500;0.20469777;0.525665;772.2971;1.9307427;596.8156;1.4920391
60;1000;228;1538;0.08805759;0.07945897;0.23239388;24.929457;2500;0.16751656;0.525665;772.2971;1.9307427;596.8156;1.4920391
60;1000;228;1538;0.1340138;0.07068398;0.23239388;24.929457;2500;0.20469777;0.65469104;772.2971;1.9307427;596.8156;1.4920391
60;1000;228;1538;0.107602455;0.09709532;0.12631729;24.929457;2500;0.20469777;0.525665;772.2971;1.9307427;596.8156;1.4920391
60;1000;228;1538;0.107602455;0.09709532;0.23239388;140.07913;2500;0.20469777;0.525665;772.2971;1.9307427;596.8156;1.4920391
60;1000;221;1792;0.10967159;0.05784497;0.12631729;140.07913;2500;0.16751656;0.65469104;773.6955;1.9342388;373.3467;0.9333668
60;1000;69;706;0.10724581;0.24235867;0.17474714;126.7939;2500;0.3496045;0.30676326;537.5359;1.3438396;314.081;0.7852025
60;1000;69;706;0.10724581;0.24235867;0.17474714;126.7939;2500;0.3496045;0.30676326;537.5359;1.3438396;484.62442;1.2115611
60;1000;69;706;0.10724581;0.24235867;0.17474714;126.7939;2500;0.3496045;0.30676326;307.5316;0.7688289;314.081;0.7852025
