;[mm];[1/m2];[mm];[-];[-];[-];[mm/hour];[mm/hour];[-];[-]
lu_id;z_soil;dmpv;lmpv;theta_ac;theta_ufc;theta_pwp;ks;kf;theta_eff;frac_lp
8;1000;33;391;0.090761274;0.19724445;0.22884673;144.73048;2500;0.2880057;0.31513706
8;1000;156;391;0.090761274;0.19724445;0.22884673;144.73048;2500;0.2880057;0.31513706
8;1000;33;733;0.090761274;0.19724445;0.22884673;144.73048;2500;0.2880057;0.31513706
8;1000;33;391;0.108817495;0.23648465;0.22884673;144.73048;2500;0.34530213;0.31513706
8;1000;33;391;0.111534916;0.17647079;0.22884673;144.73048;2500;0.2880057;0.38726634
8;1000;33;391;0.090761274;0.19724445;0.20680869;144.73048;2500;0.2880057;0.31513706
8;1000;33;391;0.090761274;0.19724445;0.22884673;45.543816;2500;0.2880057;0.31513706
8;1000;156;733;0.1337239;0.21157824;0.20680869;45.543816;2500;0.34530213;0.38726634
8;1000;281;1806;0.13830198;0.08882687;0.16569395;15.022661;2500;0.22712886;0.6089142
8;1000;33;1806;0.13830198;0.08882687;0.16569395;15.022661;2500;0.22712886;0.6089142
8;1000;281;1945;0.13830198;0.08882687;0.16569395;15.022661;2500;0.22712886;0.6089142
8;1000;281;1806;0.12741214;0.08183268;0.16569395;15.022661;2500;0.20924482;0.6089142
8;1000;281;1806;0.13576524;0.091363624;0.16569395;15.022661;2500;0.22712886;0.5977454
8;1000;281;1806;0.13830198;0.08882687;0.12804946;15.022661;2500;0.22712886;0.6089142
8;1000;281;1806;0.13830198;0.08882687;0.16569395;113.880295;2500;0.22712886;0.6089142
8;1000;33;1945;0.12507513;0.084169686;0.12804946;113.880295;2500;0.20924482;0.5977454
8;1000;207;732;0.038049087;0.26224467;0.1260456;65.78107;2500;0.30029377;0.12670621
8;1000;279;732;0.038049087;0.26224467;0.1260456;65.78107;2500;0.30029377;0.12670621
8;1000;207;1228;0.038049087;0.26224467;0.1260456;65.78107;2500;0.30029377;0.12670621
8;1000;207;732;0.020686725;0.14257854;0.1260456;65.78107;2500;0.16326527;0.12670621
8;1000;207;732;0.14108336;0.15921041;0.1260456;65.78107;2500;0.30029377;0.46981782
8;1000;207;732;0.038049087;0.26224467;0.15013573;65.78107;2500;0.30029377;0.12670621
8;1000;207;732;0.038049087;0.26224467;0.1260456;102.441536;2500;0.30029377;0.12670621
8;1000;279;1228;0.076704934;0.08656034;0.15013573;102.441536;2500;0.16326527;0.46981782
8;1000;106;1093;0.069457375;0.09498473;0.17941426;84.46717;2500;0.1644421;0.42238194
8;1000;148;1093;0.069457375;0.09498473;0.17941426;84.46717;2500;0.1644421;0.42238194
8;1000;106;455;0.069457375;0.09498473;0.17941426;84.46717;2500;0.1644421;0.42238194
8;1000;106;1093;0.11708704;0.1601195;0.17941426;84.46717;2500;0.27720654;0.42238194
8;1000;106;1093;0.036111858;0.12833026;0.17941426;84.46717;2500;0.1644421;0.21960226
8;1000;106;1093;0.069457375;0.09498473;0.21954773;84.46717;2500;0.1644421;0.42238194
8;1000;106;1093;0.069457375;0.09498473;0.17941426;29.724258;2500;0.1644421;0.42238194
8;1000;148;455;0.06087518;0.21633136;0.21954773;29.724258;2500;0.27720654;0.21960226
8;1000;147;881;0.11449781;0.10262872;0.20409471;126.47612;2500;0.21712653;0.5273322
8;1000;252;881;0.11449781;0.10262872;0.20409471;126.47612;2500;0.21712653;0.5273322
8;1000;147;1358;0.11449781;0.10262872;0.20409471;126.47612;2500;0.21712653;0.5273322
8;1000;147;881;0.10020316;0.089815885;0.20409471;126.47612;2500;0.19001904;0.5273322
8;1000;147;881;0.15193997;0.06518656;0.20409471;126.47612;2500;0.21712653;0.6997762
8;1000;147;881;0.11449781;0.10262872;0.15865391;126.47612;2500;0.21712653;0.5273322
8;1000;147;881;0.11449781;0.10262872;0.20409471;12.972651;2500;0.21712653;0.5273322
8;1000;252;1358;0.1329708;0.057048243;0.15865391;12.972651;2500;0.19001904;0.6997762
8;1000;158;1442;0.057289526;0.1989121;0.115445614;33.011658;2500;0.25620162;0.2236111
8;1000;84;1442;0.057289526;0.1989121;0.115445614;33.011658;2500;0.25620162;0.2236111
8;1000;158;88;0.057289526;0.1989121;0.115445614;33.011658;2500;0.25620162;0.2236111
8;1000;158;1442;0.0560889;0.19474345;0.115445614;33.011658;2500;0.25083235;0.2236111
8;1000;158;1442;0.074356325;0.1818453;0.115445614;33.011658;2500;0.25620162;0.2902258
8;1000;158;1442;0.057289526;0.1989121;0.24856685;33.011658;2500;0.25620162;0.2236111
8;1000;158;1442;0.057289526;0.1989121;0.115445614;83.01616;2500;0.25620162;0.2236111
8;1000;84;88;0.07279802;0.17803434;0.24856685;83.01616;2500;0.25083235;0.2902258
8;1000;231;43;0.114826545;0.06420769;0.14112815;47.787643;2500;0.17903423;0.6413664
8;1000;219;43;0.114826545;0.06420769;0.14112815;47.787643;2500;0.17903423;0.6413664
8;1000;231;860;0.114826545;0.06420769;0.14112815;47.787643;2500;0.17903423;0.6413664
8;1000;231;43;0.20556132;0.11494396;0.14112815;47.787643;2500;0.3205053;0.6413664
8;1000;231;43;0.028287772;0.15074646;0.14112815;47.787643;2500;0.17903423;0.15800203
8;1000;231;43;0.114826545;0.06420769;0.17954908;47.787643;2500;0.17903423;0.6413664
8;1000;231;43;0.114826545;0.06420769;0.14112815;135.02376;2500;0.17903423;0.6413664
8;1000;219;860;0.050640486;0.2698648;0.17954908;135.02376;2500;0.3205053;0.15800203
8;1000;73;1659;0.1147919;0.22834106;0.23933135;102.72596;2500;0.34313297;0.33454058
8;1000;60;1659;0.1147919;0.22834106;0.23933135;102.72596;2500;0.34313297;0.33454058
8;1000;73;1576;0.1147919;0.22834106;0.23933135;102.72596;2500;0.34313297;0.33454058
8;1000;73;1659;0.07738587;0.15393396;0.23933135;102.72596;2500;0.23131983;0.33454058
8;1000;73;1659;0.18103722;0.16209576;0.23933135;102.72596;2500;0.34313297;0.52760077
8;1000;73;1659;0.1147919;0.22834106;0.117770575;102.72596;2500;0.34313297;0.33454058
8;1000;73;1659;0.1147919;0.22834106;0.23933135;60.581745;2500;0.34313297;0.33454058
8;1000;60;1576;0.12204452;0.10927531;0.117770575;60.581745;2500;0.23131983;0.52760077
8;1000;49;625;0.036260683;0.15566915;0.16497582;91.18835;2500;0.19192983;0.18892677
8;1000;236;625;0.036260683;0.15566915;0.16497582;91.18835;2500;0.19192983;0.18892677
8;1000;49;1383;0.036260683;0.15566915;0.16497582;91.18835;2500;0.19192983;0.18892677
8;1000;49;625;0.0338839;0.14546548;0.16497582;91.18835;2500;0.17934938;0.18892677
8;1000;49;625;0.03783382;0.15409602;0.16497582;91.18835;2500;0.19192983;0.19712318
8;1000;49;625;0.036260683;0.15566915;0.10870982;91.18835;2500;0.19192983;0.18892677
8;1000;49;625;0.036260683;0.15566915;0.16497582;58.27219;2500;0.19192983;0.18892677
8;1000;236;1383;0.03535392;0.14399546;0.10870982;58.27219;2500;0.17934938;0.19712318
8;1000;256;1202;0.1627445;0.16828482;0.21550235;77.02517;2500;0.33102933;0.4916317
8;1000;104;1202;0.1627445;0.16828482;0.21550235;77.02517;2500;0.33102933;0.4916317
