PREC event_type event_no event 10mins h d dt PET TA
2.14 0 0 False False False True 86400 1.4 15.2
0.0 0 0 True False True False 3600 0.0375 12.1
0.0 0 0 True False True False 3600 0.0375 12.1
0.0 0 0 True False True False 3600 0.0375 12.1
0.23 30 1 True False True False 3600 0.0375 12.1
0.11 30 1 True False True False 3600 0.0375 12.1
0.0 30 1 True False True False 3600 0.0375 12.1
0.0 30 1 True False True False 3600 0.0375 12.1
0.0 30 1 True False True False 3600 0.0375 12.1
0.0 30 1 True False True False 3600 0.0375 12.1
0.0 30 1 True False True False 3600 0.0375 12.1
0.0 30 1 True False True False 3600 0.0375 12.1
0.0 30 1 True False True False 3600 0.0375 12.1
0.0 30 1 True False True False 3600 0.0375 12.1
0.0 30 1 True False True False 3600 0.0375 12.1
0.0 30 1 True False True False 3600 0.0375 12.1
0.0 30 1 True False True False 3600 0.0375 12.1
0.0 30 1 True False True False 3600 0.0375 12.1
0.0 30 1 True False True False 3600 0.0375 12.1
0.0 30 1 True False True False 3600 0.0375 12.1
0.0 30 1 True False True False 3600 0.0375 12.1
0.0 30 1 True False True False 3600 0.0375 12.1
0.0 30 1 True False True False 3600 0.0375 12.1
0.0 30 1 True False True False 3600 0.0375 12.1
0.0 30 1 True False True False 3600 0.0375 12.1
0.0 0 0 False False False True 86400 2.0 13.7
0.0 0 0 True False True False 3600 0.08333333333333333 12.7
0.0 0 0 True False True False 3600 0.08333333333333333 12.7
0.0 0 0 True False True False 3600 0.08333333333333333 12.7
0.0 0 0 True False True False 3600 0.08333333333333333 12.7
0.0 0 0 True False True False 3600 0.08333333333333333 12.7
0.0 0 0 True False True False 3600 0.08333333333333333 12.7
0.0 0 0 True False True False 3600 0.08333333333333333 12.7
0.0 0 0 True False True False 3600 0.08333333333333333 12.7
0.0 0 0 True False True False 3600 0.08333333333333333 12.7
0.0 0 0 True False True False 3600 0.08333333333333333 12.7
0.0 0 0 True False True False 3600 0.08333333333333333 12.7
0.0 0 0 True False True False 3600 0.08333333333333333 12.7
0.0 0 0 True False True False 3600 0.08333333333333333 12.7
0.0 0 0 True False True False 3600 0.08333333333333333 12.7
0.0 0 0 True False True False 3600 0.08333333333333333 12.7
0.0 0 0 True False True False 3600 0.08333333333333333 12.7
0.0 0 0 True False True False 3600 0.08333333333333333 12.7
0.0 0 0 True False True False 3600 0.08333333333333333 12.7
0.0 0 0 True False True False 3600 0.08333333333333333 12.7
0.0 0 0 True False True False 3600 0.08333333333333333 12.7
0.0 0 0 True False True False 3600 0.08333333333333333 12.7
0.0 0 0 True False True False 3600 0.08333333333333333 12.7
0.35 30 2 True False True False 3600 0.08333333333333333 12.7
0.8400000000000001 30 2 True False True False 3600 0.08333333333333333 12.7
1.2 30 2 True False True False 3600 0.0375 17.3
2.5 30 2 True False True False 3600 0.0375 17.3
0.04 30 2 True False True False 3600 0.0375 17.3
0.24000000000000002 30 2 True False True False 3600 0.0375 17.3
0.07 30 2 True False True False 3600 0.0375 17.3
0.0 30 2 True False True False 3600 0.0375 17.3
0.0 30 2 True False True False 3600 0.0375 17.3
0.0 30 2 True False True False 3600 0.0375 17.3
0.07 30 2 True False True False 3600 0.0375 17.3
0.09 30 2 True False True False 3600 0.0375 17.3
0.0 30 2 True False True False 3600 0.0375 17.3
0.0 30 2 True False True False 3600 0.0375 17.3
0.0 30 2 True False True False 3600 0.0375 17.3
0.0 30 2 True False True False 3600 0.0375 17.3
0.0 30 2 True False True False 3600 0.0375 17.3
0.0 30 2 True False True False 3600 0.0375 17.3
0.0 30 2 True False True False 3600 0.0375 17.3
0.0 30 2 True False True False 3600 0.0375 17.3
0.0 30 2 True False True False 3600 0.0375 17.3
0.0 30 2 True False True False 3600 0.0375 17.3
0.0 30 2 True False True False 3600 0.0375 17.3
0.0 30 2 True False True False 3600 0.0375 17.3
0.0 30 2 True False True False 3600 0.0375 17.3
0.0 30 2 True False True False 3600 0.0375 17.3
0.0 0 0 False False False True 86400 1.5 11.0
0.0 0 0 False False False True 86400 1.5 11.3
0.0 0 0 False False False True 86400 1.2 16.6
0.0 0 0 False False False True 86400 0.4 10.7
0.0 0 0 False False False True 86400 1.1 6.9
0.0 0 0 False False False True 86400 1.6 8.6
0.0 0 0 False False False True 86400 1.1 7.7
0.0 0 0 False False False True 86400 0.4 8.7
0.0 0 0 False False False True 86400 0.5 8.1
0.0 0 0 False False False True 86400 0.6 9.0
0.0 0 0 True False True False 3600 0.016666666666666666 9.8
0.0 0 0 True False True False 3600 0.016666666666666666 9.8
0.0 0 0 True False True False 3600 0.016666666666666666 9.8
0.18 30 3 True False True False 3600 0.016666666666666666 9.8
0.54 30 3 True False True False 3600 0.016666666666666666 9.8
