YYYY	MM	DD	PET
2010	10	1	1.4
2010	10	2	0.9
2010	10	3	2.0
2010	10	4	2.0
2010	10	5	0.9
2010	10	6	1.5
2010	10	7	1.5
2010	10	8	1.2
2010	10	9	0.4
2010	10	10	1.1
2010	10	11	1.6
2010	10	12	1.1
2010	10	13	0.4
2010	10	14	0.5
2010	10	15	0.6
2010	10	16	0.4
2010	10	17	0.5
2010	10	18	0.2
2010	10	19	0.5
2010	10	20	0.7
2010	10	21	0.7
2010	10	22	0.2
2010	10	23	0.7
2010	10	24	0.5
2010	10	25	0.2
2010	10	26	0.9
2010	10	27	0.7
2010	10	28	0.9
2010	10	29	1.1
2010	10	30	0.5
2010	10	31	0.6
2010	11	1	0.6
2010	11	2	0.2
2010	11	3	0.6
2010	11	4	0.9
2010	11	5	0.9
2010	11	6	1.1
2010	11	7	0.5
2010	11	8	0.6
2010	11	9	1.1
2010	11	10	0.6
2010	11	11	1.6
2010	11	12	1.6
2010	11	13	1.6
2010	11	14	0.9
2010	11	15	0.2
2010	11	16	0.1
2010	11	17	0.1
2010	11	18	0.0
2010	11	19	0.4
2010	11	20	0.4
2010	11	21	0.0
2010	11	22	0.1
2010	11	23	0.1
2010	11	24	0.1
2010	11	25	0.2
2010	11	26	0.0
2010	11	27	0.0
2010	11	28	0.0
2010	11	29	0.1
2010	11	30	0.0
2010	12	1	0.0
2010	12	2	0.0
2010	12	3	0.0
2010	12	4	0.0
2010	12	5	0.1
2010	12	6	0.1
2010	12	7	0.4
2010	12	8	0.8
2010	12	9	0.0
2010	12	10	0.0
2010	12	11	0.2
2010	12	12	0.1
2010	12	13	0.0
2010	12	14	0.0
2010	12	15	0.0
2010	12	16	0.0
2010	12	17	0.1
2010	12	18	0.0
2010	12	19	0.1
2010	12	20	1.5
2010	12	21	0.2
2010	12	22	0.2
2010	12	23	0.1
2010	12	24	0.0
2010	12	25	0.0
2010	12	26	0.0
2010	12	27	0.0
2010	12	28	0.1
2010	12	29	0.1
2010	12	30	0.1
2010	12	31	0.0
2011	1	1	0.0
2011	1	2	0.1
2011	1	3	0.0
2011	1	4	0.0
2011	1	5	0.4
2011	1	6	1.4
2011	1	7	0.6
2011	1	8	0.6
2011	1	9	0.6
2011	1	10	0.1
2011	1	11	0.4
2011	1	12	0.6
2011	1	13	1.1
2011	1	14	0.4
2011	1	15	1.0
2011	1	16	0.5
2011	1	17	0.6
2011	1	18	0.5
2011	1	19	0.5
2011	1	20	0.0
2011	1	21	0.0
2011	1	22	0.0
2011	1	23	0.0
2011	1	24	0.1
2011	1	25	0.5
2011	1	26	0.2
2011	1	27	0.1
2011	1	28	0.1
2011	1	29	0.0
2011	1	30	0.0
2011	1	31	0.0
2011	2	1	0.0
2011	2	2	0.0
2011	2	3	0.1
2011	2	4	0.6
2011	2	5	1.2
2011	2	6	0.9
2011	2	7	1.0
2011	2	8	1.0
2011	2	9	0.5
2011	2	10	1.1
2011	2	11	1.4
2011	2	12	0.9
2011	2	13	0.7
2011	2	14	1.6
2011	2	15	0.5
2011	2	16	0.6
2011	2	17	0.2
2011	2	18	0.2
2011	2	19	0.7
2011	2	20	0.4
2011	2	21	0.0
2011	2	22	0.0
2011	2	23	0.5
2011	2	24	0.2
2011	2	25	0.2
2011	2	26	0.5
2011	2	27	0.4
2011	2	28	0.2
2011	3	1	1.4
2011	3	2	2.6
2011	3	3	1.1
2011	3	4	1.1
2011	3	5	1.1
2011	3	6	0.8
2011	3	7	2.2
2011	3	8	2.0
2011	3	9	1.8
2011	3	10	1.4
2011	3	11	2.0
2011	3	12	1.4
2011	3	13	0.5
2011	3	14	1.5
2011	3	15	1.8
2011	3	16	0.7
2011	3	17	0.4
2011	3	18	0.6
2011	3	19	0.5
2011	3	20	2.2
2011	3	21	2.8
2011	3	22	2.3
2011	3	23	2.7
2011	3	24	2.1
2011	3	25	2.6
2011	3	26	1.7
2011	3	27	1.1
2011	3	28	1.5
2011	3	29	2.0
2011	3	30	0.9
2011	3	31	0.9
2011	4	1	2.3
2011	4	2	2.8
2011	4	3	2.8
2011	4	4	1.4
2011	4	5	2.3
2011	4	6	2.6
2011	4	7	3.1
2011	4	8	2.6
2011	4	9	2.8
2011	4	10	2.9
2011	4	11	3.1
2011	4	12	1.8
2011	4	13	1.8
2011	4	14	1.7
2011	4	15	2.7
2011	4	16	3.4
2011	4	17	3.8
2011	4	18	3.2
2011	4	19	2.9
2011	4	20	3.3
2011	4	21	3.2
2011	4	22	3.6
2011	4	23	3.4
2011	4	24	1.6
2011	4	25	3.1
2011	4	26	3.1
2011	4	27	2.3
2011	4	28	1.8
2011	4	29	1.2
2011	4	30	2.6
2011	5	1	2.1
2011	5	2	2.8
2011	5	3	2.1
2011	5	4	3.6
2011	5	5	4.5
2011	5	6	4.2
2011	5	7	4.3
2011	5	8	4.7
2011	5	9	4.7
2011	5	10	3.8
2011	5	11	3.3
2011	5	12	1.7
2011	5	13	3.8
2011	5	14	2.8
2011	5	15	2.2
2011	5	16	1.8
2011	5	17	2.0
2011	5	18	3.8
2011	5	19	2.9
2011	5	20	4.4
2011	5	21	5.0
2011	5	22	4.7
2011	5	23	4.7
2011	5	24	5.3
2011	5	25	4.9
2011	5	26	6.1
2011	5	27	2.5
2011	5	28	4.1
2011	5	29	4.8
2011	5	30	4.5
2011	5	31	2.3
2011	6	1	1.4
2011	6	2	3.6
2011	6	3	4.8
2011	6	4	3.4
2011	6	5	3.6
2011	6	6	2.6
2011	6	7	3.3
2011	6	8	1.2
2011	6	9	1.6
2011	6	10	2.7
2011	6	11	2.1
2011	6	12	3.8
2011	6	13	2.0
