YYYY	MM	DD	TA
2010	10	1	15.2
2010	10	2	12.1
2010	10	3	13.7
2010	10	4	12.7
2010	10	5	17.3
2010	10	6	11.0
2010	10	7	11.3
2010	10	8	16.6
2010	10	9	10.7
2010	10	10	6.9
2010	10	11	8.6
2010	10	12	7.7
2010	10	13	8.7
2010	10	14	8.1
2010	10	15	9.0
2010	10	16	9.8
2010	10	17	5.3
2010	10	18	4.0
2010	10	19	9.0
2010	10	20	8.3
2010	10	21	1.7
2010	10	22	-0.2
2010	10	23	8.4
2010	10	24	10.1
2010	10	25	3.2
2010	10	26	2.5
2010	10	27	2.1
2010	10	28	4.2
2010	10	29	7.7
2010	10	30	6.1
2010	10	31	9.8
2010	11	1	12.3
2010	11	2	11.1
2010	11	3	14.3
2010	11	4	12.7
2010	11	5	13.0
2010	11	6	11.1
2010	11	7	11.2
2010	11	8	2.8
2010	11	9	3.8
2010	11	10	5.3
2010	11	11	4.6
2010	11	12	11.2
2010	11	13	17.4
2010	11	14	16.0
2010	11	15	11.3
2010	11	16	3.2
2010	11	17	2.1
2010	11	18	2.4
2010	11	19	3.0
2010	11	20	2.4
2010	11	21	1.2
2010	11	22	6.2
2010	11	23	4.9
2010	11	24	4.8
2010	11	25	5.1
2010	11	26	2.5
2010	11	27	-5.2
2010	11	28	-2.3
2010	11	29	-2.5
2010	11	30	-6.8
2010	12	1	-4.5
2010	12	2	-5.5
2010	12	3	-8.0
2010	12	4	-5.6
2010	12	5	-3.1
2010	12	6	4.4
2010	12	7	10.5
2010	12	8	6.6
2010	12	9	2.7
2010	12	10	3.1
2010	12	11	5.8
2010	12	12	4.6
2010	12	13	-5.0
2010	12	14	-6.9
2010	12	15	-2.0
2010	12	16	-1.3
2010	12	17	-3.9
2010	12	18	-6.4
2010	12	19	0.2
2010	12	20	3.6
2010	12	21	2.9
2010	12	22	1.6
2010	12	23	3.7
2010	12	24	3.0
2010	12	25	-5.5
2010	12	26	-11.6
2010	12	27	-2.0
2010	12	28	-3.8
2010	12	29	-1.3
2010	12	30	3.9
2010	12	31	-1.6
2011	1	1	2.2
2011	1	2	-3.1
2011	1	3	-7.1
2011	1	4	-6.5
2011	1	5	-5.5
2011	1	6	4.3
2011	1	7	7.0
2011	1	8	6.3
2011	1	9	4.8
2011	1	10	1.6
2011	1	11	2.1
2011	1	12	4.2
2011	1	13	9.0
2011	1	14	7.7
2011	1	15	5.8
2011	1	16	2.6
2011	1	17	3.3
2011	1	18	5.6
2011	1	19	0.7
2011	1	20	2.6
2011	1	21	-3.5
2011	1	22	-5.4
2011	1	23	-6.2
2011	1	24	1.7
2011	1	25	4.6
2011	1	26	4.7
2011	1	27	-0.4
2011	1	28	-3.2
2011	1	29	-0.2
2011	1	30	-1.2
2011	1	31	-6.1
2011	2	1	-7.2
2011	2	2	-5.1
2011	2	3	-1.5
2011	2	4	8.2
2011	2	5	5.9
2011	2	6	8.9
2011	2	7	6.2
2011	2	8	8.6
2011	2	9	3.2
2011	2	10	3.0
2011	2	11	12.1
2011	2	12	5.8
2011	2	13	9.7
2011	2	14	4.7
2011	2	15	8.4
2011	2	16	2.7
2011	2	17	2.8
2011	2	18	1.5
2011	2	19	2.5
2011	2	20	1.3
2011	2	21	3.1
2011	2	22	1.6
2011	2	23	-4.3
2011	2	24	-0.4
2011	2	25	8.2
2011	2	26	7.4
2011	2	27	7.0
2011	2	28	6.2
2011	3	1	3.5
2011	3	2	1.6
2011	3	3	-0.3
2011	3	4	5.2
2011	3	5	2.4
2011	3	6	3.8
2011	3	7	0.0
2011	3	8	0.3
2011	3	9	5.8
2011	3	10	7.4
2011	3	11	6.0
2011	3	12	3.7
2011	3	13	7.2
2011	3	14	8.2
2011	3	15	5.1
2011	3	16	7.5
2011	3	17	9.9
2011	3	18	9.8
2011	3	19	2.5
2011	3	20	1.8
2011	3	21	2.8
2011	3	22	4.6
2011	3	23	7.2
2011	3	24	5.5
2011	3	25	10.2
2011	3	26	9.3
2011	3	27	7.7
2011	3	28	7.6
2011	3	29	7.0
2011	3	30	7.8
2011	3	31	10.1
2011	4	1	17.2
2011	4	2	10.8
2011	4	3	14.6
2011	4	4	8.6
2011	4	5	9.4
2011	4	6	13.3
2011	4	7	16.0
2011	4	8	16.6
2011	4	9	10.1
2011	4	10	9.4
2011	4	11	13.1
2011	4	12	12.4
2011	4	13	4.4
2011	4	14	5.1
2011	4	15	4.4
2011	4	16	5.8
2011	4	17	7.1
2011	4	18	9.3
2011	4	19	11.2
2011	4	20	12.9
2011	4	21	13.4
2011	4	22	13.8
2011	4	23	14.5
2011	4	24	17.5
2011	4	25	13.6
2011	4	26	10.1
2011	4	27	10.0
2011	4	28	10.1
2011	4	29	10.3
2011	4	30	9.9
2011	5	1	10.7
2011	5	2	11.0
2011	5	3	7.5
2011	5	4	6.6
2011	5	5	8.5
2011	5	6	9.6
2011	5	7	15.2
2011	5	8	16.1
2011	5	9	12.4
2011	5	10	16.9
2011	5	11	15.6
2011	5	12	18.3
2011	5	13	12.7
2011	5	14	15.7
2011	5	15	12.9
2011	5	16	8.9
2011	5	17	17.6
2011	5	18	14.6
2011	5	19	14.3
2011	5	20	14.4
2011	5	21	15.4
2011	5	22	16.8
2011	5	23	15.9
2011	5	24	16.3
2011	5	25	14.6
2011	5	26	17.4
2011	5	27	16.0
2011	5	28	11.2
2011	5	29	15.1
2011	5	30	19.7
2011	5	31	18.9
2011	6	1	8.5
2011	6	2	13.1
2011	6	3	17.4
2011	6	4	22.4
2011	6	5	18.3
2011	6	6	20.0
2011	6	7	16.6
2011	6	8	16.6
2011	6	9	16.2
2011	6	10	12.0
2011	6	11	12.1
2011	6	12	13.9
2011	6	13	18.9
2011	6	14	16.8
2011	6	15	18.0
2011	6	16	16.8
2011	6	17	20.7
2011	6	18	18.3
2011	6	19	11.2
2011	6	20	14.8
2011	6	21	24.2
2011	6	22	16.9
2011	6	23	18.7
2011	6	24	17.8
2011	6	25	14.1
2011	6	26	20.0
2011	6	27	22.6
2011	6	28	19.4
2011	6	29	17.8
2011	6	30	18.8
2011	7	1	12.0
2011	7	2	11.9
2011	7	3	18.2
2011	7	4	17.1
2011	7	5	19.1
2011	7	6	18.9
2011	7	7	16.9
2011	7	8	20.7
2011	7	9	19.1
2011	7	10	21.7
2011	7	11	18.3
2011	7	12	20.9
2011	7	13	16.3
2011	7	14	17.3
2011	7	15	12.7
2011	7	16	16.2
2011	7	17	13.9
2011	7	18	13.3
2011	7	19	12.4
2011	7	20	16.9
2011	7	21	17.7
2011	7	22	18.7
2011	7	23	17.1
2011	7	24	15.5
2011	7	25	13.0
2011	7	26	14.0
2011	7	27	19.5
2011	7	28	19.7
2011	7	29	15.6
2011	7	30	14.6
2011	7	31	14.1
2011	8	1	16.0
2011	8	2	18.9
2011	8	3	18.7
2011	8	4	24.4
2011	8	5	23.0
2011	8	6	18.6
2011	8	7	19.5
2011	8	8	13.1
2011	8	9	17.5
2011	8	10	12.3
2011	8	11	16.2
2011	8	12	18.4
2011	8	13	22.6
2011	8	14	18.9
2011	8	15	21.6
2011	8	16	17.6
2011	8	17	18.8
2011	8	18	21.9
2011	8	19	25.4
2011	8	20	22.0
2011	8	21	23.3
2011	8	22	28.7
2011	8	23	24.0
2011	8	24	25.6
2011	8	25	24.3
2011	8	26	23.8
2011	8	27	16.3
2011	8	28	13.0
2011	8	29	17.6
2011	8	30	17.8
2011	8	31	15.2
2011	9	1	17.8
2011	9	2	18.8
2011	9	3	20.7
2011	9	4	22.7
2011	9	5	19.3
2011	9	6	18.2
2011	9	7	15.5
2011	9	8	15.3
2011	9	9	22.8
2011	9	10	19.8
2011	9	11	19.9
2011	9	12	17.3
2011	9	13	18.8
2011	9	14	18.5
2011	9	15	12.2
2011	9	16	12.7
2011	9	17	21.6
2011	9	18	14.9
2011	9	19	14.0
2011	9	20	10.3
2011	9	21	11.9
2011	9	22	12.7
2011	9	23	13.1
2011	9	24	11.1
2011	9	25	12.5
2011	9	26	15.7
2011	9	27	16.0
2011	9	28	15.4
2011	9	29	14.6
2011	9	30	19.4
