Name: Ihringen (ID: 2388)			
Lat: 48.0419   ,Lon: 7.6322			
Jahr	Monat	Tag	T
2010	10	1	12.8
2010	10	2	14.6
2010	10	3	15.4
2010	10	4	14.5
2010	10	5	14.9
2010	10	6	13.7
2010	10	7	14.1
2010	10	8	13.6
2010	10	9	12.9
2010	10	10	9.7
2010	10	11	10.2
2010	10	12	7.2
2010	10	13	5.6
2010	10	14	5.6
2010	10	15	6.1
2010	10	16	7.3
2010	10	17	7.1
2010	10	18	6.2
2010	10	19	6.6
2010	10	20	6.5
2010	10	21	3.9
2010	10	22	2.0
2010	10	23	9.6
2010	10	24	7.5
2010	10	25	5.8
2010	10	26	3.5
2010	10	27	5.6
2010	10	28	8.3
2010	10	29	5.9
2010	10	30	10.4
2010	10	31	11.4
2010	11	1	9.4
2010	11	2	8.6
2010	11	3	12.1
2010	11	4	16.1
2010	11	5	14.4
2010	11	6	14.5
2010	11	7	7.9
2010	11	8	7.3
2010	11	9	10.6
2010	11	10	9.7
2010	11	11	8.9
2010	11	12	14.5
2010	11	13	15.6
2010	11	14	13.3
2010	11	15	9.1
2010	11	16	6.2
2010	11	17	5.6
2010	11	18	4.9
2010	11	19	6.7
2010	11	20	4.0
2010	11	21	4.0
2010	11	22	4.0
2010	11	23	2.9
2010	11	24	3.1
2010	11	25	3.1
2010	11	26	0.1
2010	11	27	-1.4
2010	11	28	-1.9
2010	11	29	0.3
2010	11	30	-5.0
2010	12	1	-2.1
2010	12	2	-3.2
2010	12	3	-7.0
2010	12	4	-2.8
2010	12	5	0.0
2010	12	6	1.4
2010	12	7	1.8
2010	12	8	3.8
2010	12	9	-0.1
2010	12	10	0.6
2010	12	11	3.4
2010	12	12	2.7
2010	12	13	-1.2
2010	12	14	-3.3
2010	12	15	-3.8
2010	12	16	-3.1
2010	12	17	-0.1
2010	12	18	-2.6
2010	12	19	3.5
2010	12	20	4.7
2010	12	21	5.6
2010	12	22	6.2
2010	12	23	4.5
2010	12	24	0.6
2010	12	25	-3.6
2010	12	26	-8.5
2010	12	27	-7.5
2010	12	28	-1.6
2010	12	29	0.8
2010	12	30	-0.4
2010	12	31	0.3
2011	1	1	0.0
2011	1	2	0.4
2011	1	3	-2.9
2011	1	4	-3.2
2011	1	5	-1.7
2011	1	6	6.8
2011	1	7	12.0
2011	1	8	11.1
2011	1	9	9.2
2011	1	10	3.4
2011	1	11	5.2
2011	1	12	7.8
2011	1	13	11.9
2011	1	14	10.2
2011	1	15	9.1
2011	1	16	3.4
2011	1	17	5.4
2011	1	18	8.2
2011	1	19	4.2
2011	1	20	0.7
2011	1	21	0.4
2011	1	22	-1.7
2011	1	23	-4.0
2011	1	24	-0.3
2011	1	25	2.5
2011	1	26	2.2
2011	1	27	2.1
2011	1	28	2.0
2011	1	29	-1.1
2011	1	30	-3.7
2011	1	31	-1.9
2011	2	1	-1.7
2011	2	2	-1.0
2011	2	3	0.1
2011	2	4	6.3
2011	2	5	7.9
2011	2	6	4.5
2011	2	7	4.9
2011	2	8	4.9
2011	2	9	1.5
2011	2	10	6.6
2011	2	11	9.5
2011	2	12	6.5
2011	2	13	6.7
2011	2	14	7.4
2011	2	15	6.0
2011	2	16	4.3
2011	2	17	4.2
2011	2	18	4.3
2011	2	19	4.7
2011	2	20	2.7
2011	2	21	0.2
2011	2	22	-1.0
2011	2	23	-2.0
2011	2	24	2.7
2011	2	25	6.1
2011	2	26	5.7
2011	2	27	4.8
2011	2	28	4.1
2011	3	1	6.9
2011	3	2	5.5
2011	3	3	3.2
2011	3	4	1.6
2011	3	5	2.6
2011	3	6	0.6
2011	3	7	3.7
2011	3	8	5.5
2011	3	9	7.2
2011	3	10	8.4
2011	3	11	7.8
2011	3	12	7.5
2011	3	13	9.3
2011	3	14	11.2
2011	3	15	10.6
2011	3	16	9.9
2011	3	17	7.7
2011	3	18	6.9
2011	3	19	6.4
2011	3	20	5.0
2011	3	21	5.4
2011	3	22	7.5
2011	3	23	9.0
2011	3	24	10.4
2011	3	25	12.1
2011	3	26	9.2
2011	3	27	10.0
2011	3	28	11.4
2011	3	29	9.9
2011	3	30	10.8
2011	3	31	13.2
2011	4	1	14.4
2011	4	2	14.1
2011	4	3	15.7
2011	4	4	11.8
2011	4	5	11.9
2011	4	6	15.3
2011	4	7	17.1
2011	4	8	13.8
2011	4	9	13.2
2011	4	10	13.2
2011	4	11	13.2
2011	4	12	9.8
2011	4	13	6.8
2011	4	14	8.7
2011	4	15	7.6
2011	4	16	9.5
2011	4	17	11.1
2011	4	18	12.4
2011	4	19	13.4
2011	4	20	14.4
2011	4	21	15.7
2011	4	22	15.8
2011	4	23	16.4
2011	4	24	15.6
2011	4	25	15.9
2011	4	26	13.5
2011	4	27	12.1
2011	4	28	11.7
2011	4	29	11.8
2011	4	30	12.1
2011	5	1	14.0
2011	5	2	13.9
2011	5	3	11.3
2011	5	4	9.9
2011	5	5	12.0
2011	5	6	15.6
2011	5	7	19.3
2011	5	8	20.3
2011	5	9	19.8
2011	5	10	19.3
2011	5	11	18.9
2011	5	12	15.8
2011	5	13	14.9
2011	5	14	13.6
2011	5	15	10.3
2011	5	16	12.9
2011	5	17	15.5
2011	5	18	17.1
2011	5	19	17.1
2011	5	20	18.6
2011	5	21	18.4
2011	5	22	19.9
2011	5	23	18.7
2011	5	24	18.4
2011	5	25	17.3
2011	5	26	19.5
2011	5	27	13.3
2011	5	28	14.1
2011	5	29	17.4
2011	5	30	20.5
2011	5	31	16.5
2011	6	1	11.2
2011	6	2	17.4
2011	6	3	21.0
2011	6	4	20.2
2011	6	5	21.4
2011	6	6	17.7
2011	6	7	18.9
2011	6	8	14.1
2011	6	9	14.2
2011	6	10	15.2
2011	6	11	15.7
2011	6	12	16.5
2011	6	13	16.4
2011	6	14	19.8
2011	6	15	20.8
2011	6	16	18.1
2011	6	17	18.6
2011	6	18	15.8
2011	6	19	13.3
2011	6	20	16.4
2011	6	21	21.7
2011	6	22	19.3
2011	6	23	16.6
2011	6	24	15.5
2011	6	25	17.3
2011	6	26	21.5
2011	6	27	24.4
2011	6	28	26.1
2011	6	29	20.5
2011	6	30	16.3
2011	7	1	14.1
2011	7	2	14.2
2011	7	3	15.9
2011	7	4	18.4
2011	7	5	21.2
2011	7	6	19.7
2011	7	7	19.4
2011	7	8	18.4
2011	7	9	21.0
2011	7	10	19.4
2011	7	11	20.0
2011	7	12	22.6
2011	7	13	19.5
2011	7	14	15.1
2011	7	15	16.0
2011	7	16	19.4
2011	7	17	16.2
2011	7	18	16.9
2011	7	19	15.4
2011	7	20	14.4
2011	7	21	15.3
2011	7	22	16.3
2011	7	23	15.1
2011	7	24	13.4
2011	7	25	17.4
2011	7	26	16.7
2011	7	27	17.4
2011	7	28	17.9
2011	7	29	19.2
2011	7	30	17.3
2011	7	31	15.4
