[%];[m/h];[m/h];[m/h];[m/h];[m/h];[m/h];[m/h];[m/h]
SLOPE;VMH200;VMH150;VMH125;VMH100;VMH075;VMH050;VMH030;VMH010
1;8.35;6.27;5.22;4.18;3.13;2.09;1.25;0.42
2;11.82;8.86;7.38;5.91;4.43;2.95;1.77;0.59
3;14.47;10.85;9.04;7.24;5.43;3.62;2.17;0.72
4;16.71;12.53;10.44;8.35;6.27;4.18;2.51;0.84
5;18.68;14.01;11.68;9.34;7.01;4.67;2.8;0.93
6;20.47;15.35;12.79;10.23;7.67;5.12;3.07;1.02
7;22.1;16.58;13.82;11.05;8.29;5.53;3.32;1.11
8;23.63;17.72;14.77;11.82;8.86;5.91;3.54;1.18
9;25.06;18.8;15.67;12.53;9.4;6.27;3.76;1.25
10;26.42;19.82;16.51;13.21;9.91;6.61;3.96;1.32
11;27.71;20.78;17.32;13.85;10.39;6.93;4.16;1.39
12;28.94;21.71;18.09;14.47;10.85;7.24;4.34;1.45
13;30.12;22.59;18.83;15.06;11.3;7.53;4.52;1.51
14;31.26;23.45;19.54;15.63;11.72;7.82;4.69;1.56
15;32.36;24.27;20.22;16.18;12.13;8.09;4.85;1.62
16;33.42;25.06;20.89;16.71;12.53;8.35;5.01;1.67
17;34.45;25.84;21.53;17.22;12.92;8.61;5.17;1.72
18;35.45;26.59;22.15;17.72;13.29;8.86;5.32;1.77
19;36.42;27.31;22.76;18.21;13.66;9.1;5.46;1.82
20;37.36;28.02;23.35;18.68;14.01;9.34;5.6;1.87
21;38.29;28.72;23.93;19.14;14.36;9.57;5.74;1.91
22;39.19;29.39;24.49;19.59;14.7;9.8;5.88;1.96
23;40.07;30.05;25.04;20.03;15.03;10.02;6.01;2
24;40.93;30.7;25.58;20.47;15.35;10.23;6.14;2.05
25;41.77;31.33;26.11;20.89;15.67;10.44;6.27;2.09
26;42.6;31.95;26.63;21.3;15.98;10.65;6.39;2.13
27;43.41;32.56;27.13;21.71;16.28;10.85;6.51;2.17
28;44.21;33.16;27.63;22.1;16.58;11.05;6.63;2.21
29;44.99;33.74;28.12;22.5;16.87;11.25;6.75;2.25
30;45.76;34.32;28.6;22.88;17.16;11.44;6.86;2.29
31;46.52;34.89;29.07;23.26;17.44;11.63;6.98;2.33
32;47.26;35.45;29.54;23.63;17.72;11.82;7.09;2.36
33;48;36;30;24;18;12;7.2;2.4
34;48.72;36.54;30.45;24.36;18.27;12.18;7.31;2.44
35;49.43;37.07;30.89;24.71;18.54;12.36;7.41;2.47
36;50.13;37.6;31.33;25.06;18.8;12.53;7.52;2.51
37;50.82;38.12;31.76;25.41;19.06;12.71;7.62;2.54
38;51.5;38.63;32.19;25.75;19.31;12.88;7.73;2.58
39;52.18;39.13;32.61;26.09;19.57;13.04;7.83;2.61
40;52.84;39.63;33.03;26.42;19.82;13.21;7.93;2.64
41;53.5;40.12;33.44;26.75;20.06;13.37;8.02;2.67
42;54.15;40.61;33.84;27.07;20.3;13.54;8.12;2.71
43;54.79;41.09;34.24;27.39;20.54;13.7;8.22;2.74
