;[day of year];[day of year];[day of year];[day of year];[growing degree day];[growing degree day];[growing degree day];[growing degree day];[day of year];[growing degree day];[degC];[degC];[-];[-];[m];[m];[1/growing degree day];[1/growing degree day];[m/growing degree day];[-];[-];[-];[kg N / ha / year]
lu_id;DOY_start;DOY_mid;DOY_decay;DOY_end;GDD_start;GDD_mid;GDD_decay;GDD_end;cut_interval_day;GDD_cut_interval;ta_base;ta_ut;ground_cover_min;ground_cover_max;z_root_max;crop_height_max;ground_cover_decay_rate;ground_cover_growth_rate;root_growth_rate;water_stress_frac;basal_crop_coeff_mid;alpha_transp;nfix_rate
501;92;172;230;245;378;1070;2324.65;2447;-9999;-9999;1;30;0.01;0.9;1.1;0.4;0.002;0.007953995;-0.005443501;0.45;1.05;1;0
502;136;197;260;275;138;499;1084.9;1142;-9999;-9999;10;30;0.01;0.75;1.2;1;0.002;0.018715206;-0.012994752;0.5;1.15;1;0
503;75;153;213;228;312;945;2292.35;2413;-9999;-9999;0;30;0.01;0.8;1.2;0.4;0.002;0.008870239;-0.006052956;0.5;1.05;1;0
504;136;214;244;259;976;1470;2194.5;2310;-9999;-9999;0;30;0.006;0.75;1.7;0.7;0.002;0.006092731;-0.003202031;0.5;1;1;0
505;92;206;274;288;450;1824;3073.25;3235;-9999;-9999;0;30;0.1;0.9;1;1.5;0.002;0.001877535;-0.003159152;0.5;1.05;1;0
506;106;167;244;259;583;925;2564.05;2699;-9999;-9999;0;30;0.001;0.75;0.5;0.4;0.002;0.014548994;-0.00834714;0.5;0.8;1;0
507;61;183;230;245;223;1587;2682.8;2824;-9999;-9999;0;30;0.001;0.95;0.8;0.5;0.002;0.008345915;-0.003968533;0.5;1;1;0
508;136;197;230;245;976;1118;1975.05;2079;-9999;-9999;0;30;0.01;0.95;1.6;1;0.002;0.007680184;-0.004440123;0.5;1.15;1;0
509;92;146;230;245;450;691;2470.95;2601;-9999;-9999;0;30;0.015;0.8;1.1;0.5;0.002;0.011357976;-0.008987135;0.475;1.15;1;0
510;61;136;260;275;223;759;3121.7;3286;-9999;-9999;0;30;0.4;0.9;0.6;0.2;0.002;0.001496577;-0.009922178;0.2;0.85;1;0
511;75;153;260;275;59;485;1907.6;2008;-9999;-9999;6;30;0.01;0.9;0.7;0.8;0.002;0.020351093;-0.016337141;0.5;1;1;0
512;92;183;249;245;450;1364;1617.85;2601;-9999;-9999;0;30;0.01;0.75;1.2;0.8;0.002;0.005800165;-0.004027298;0.5;1.1;1;0
513;92;197;230;245;450;1640;2470.95;2601;-9999;-9999;0;28;0.001;0.75;1.2;0.4;0.002;0.007750776;-0.00330221;0.4;1.05;1;0
514;92;167;213;228;450;1058;2163.15;2277;-9999;-9999;0;30;0.001;0.85;1.2;1.2;0.002;0.012774764;-0.005330278;0.5;1.1;1;0
515;61;136;157;172;223;759;1305.3;1374;-9999;-9999;0;30;0.006;0.85;1.3;0.6;0.002;0.01315414;-0.007538822;0.5;1.15;1;0
516;92;167;182;197;450;1058;1558;1640;-9999;-9999;0;30;0.01;0.78;2;0.4;0.002;0.007758437;-0.004252236;0.5;1.05;1;0
517;92;192;272;228;145;1038;2123.25;1594;35;570;5;30;0.03;0.9;1.1;0.6;0.002;0.005908582;-0.005632429;0.575;1.1;1;0
518;106;197;213;228;583;1507;2036.8;2144;-9999;-9999;0;30;0.03;0.9;1.1;0.7;0.002;0.003923835;-0.003740445;0.5;1.05;1;0
519;92;197;230;245;450;1640;2470.95;2601;-9999;-9999;0;30;0.001;0.75;1.2;0.4;0.002;0.007750497;-0.003302092;0.5;0.95;1;0
520;75;182;229;244;312;1481;2584;2720;-9999;-9999;0;30;0.01;0.75;1.4;5;0.002;0.005307736;-0.003460457;0.5;1.05;1;0
521;75;153;213;228;312;945;2292.35;2413;-9999;-9999;0;30;0.015;0.85;1.1;0.5;0.002;0.008055974;-0.00626148;0.5;1.15;1;0
522;106;214;274;288;583;1859;2946.9;3102;-9999;-9999;0;30;0.1;0.8;2;2;0.002;0.001719982;-0.002304135;0.5;1.05;1;0
523;106;160;244;259;270;580;1978.85;2083;-9999;-9999;4;28;0.006;0.85;1.1;0.6;0.002;0.018174398;-0.011127473;0.35;1.15;1;0
524;92;192;272;228;193;1138;2307.55;1729;35;570;4;30;0.03;0.9;1;0.6;0.002;0.005334637;-0.005270816;0.5;1;1;0
525;111;202;272;288;41;647;1208.4;1285;-9999;-9999;10;30;0.00585;0.85;1.5;2;0.002;0.015978343;-0.008571098;0.55;1.2;1;0
526;61;183;244;259;37;882;1799.3;1894;-9999;-9999;6;30;0.1;0.8;1;0.4;0.002;0.003895066;-0.007012959;0.4;1;1;0
527;75;153;182;197;312;945;1687.2;1776;-9999;-9999;0;30;0.1;0.9;0.5;1.2;0.002;0.003857048;-0.008151033;0.5;1.1;1;0
528;106;197;213;228;583;1507;2036.8;2144;-9999;-9999;0;30;0.1;0.8;0.7;0.5;0.002;0.002153264;-0.004387514;0.5;1.15;1;0
529;75;153;213;228;312;945;2292.35;2413;-9999;-9999;0;30;0.1;0.85;2.5;0.8;0.002;0.003734123;-0.004293985;0.5;1.15;1;0
530;111;192;272;288;237;948;2037.75;2183;-9999;-9999;5;30;0.03;0.8;2.1;0.7;0.002;0.00626906;-0.004691778;0.6;0.95;1;0
531;75;153;213;228;312;945;2292.35;2413;-9999;-9999;0;30;0.001;0.8;1.2;1.2;0.002;0.01436165;-0.006052956;0.5;0.9;1;0
532;61;153;213;228;223;1031;2375;2500;-9999;-9999;0;30;0.001;0.85;0.6;0.4;0.002;0.013144706;-0.006989811;0.5;1.05;1;0
533;106;153;272;288;33;210;1215.05;1284;-9999;-9999;10;35;0.03;0.75;1.5;1.5;0.002;0.051358906;-0.046105492;0.45;0.7;1;0
534;106;153;272;288;583;675;2926;3102;-9999;-9999;0;30;0.03;0.2;1.2;1.5;0.002;0.00475362;-0.008935062;0.5;0.7;1;0
535;106;167;272;288;583;925;2926;3263;-9999;-9999;0;30;0.001;0.5;2.7;0.4;0.002;0.013555545;-0.004208418;0.5;1.05;1;0
536;146;207;264;279;1132;1170;2318.95;2441;-9999;-9999;0;30;8.00E-04;0.9;2;0.4;0.002;0.011944964;-0.003800234;0.5;1.1;1;0
537;92;206;272;288;145;1251;2123.25;2247;-9999;-9999;5;30;0.1;0.8;1;1.5;0.002;0.002635533;-0.004745205;0.45;1.15;1;0
538;136;197;213;228;976;1118;1667.25;1755;-9999;-9999;0;30;0.03;0.9;1.2;0.6;0.002;0.005437629;-0.005010864;0.5;1.15;1;0
539;122;202;244;259;77;612;1108.65;1131;-9999;-9999;10;30;0.00585;0.8;1.5;2;0.002;0.016870339;-0.009178298;0.5;1.2;1;0
540;75;192;230;245;6;578;1052.6;1108;-9999;-9999;10;30;0.006;0.8;1.2;2;0.002;0.017983424;-0.010796134;0.5;0.9;1;0
541;122;202;254;269;109;691;1256.85;1323;-9999;-9999;9;30;0.015;0.8;1.8;0.7;0.002;0.011369839;-0.007300764;0.5;1.15;1;0
542;75;191;187;202;312;1656;1783.15;1877;-9999;-9999;0;25;0.02;0.85;1.6;1;0.002;0.003983497;-0.002894925;0.5;1.15;1;0
543;75;162;213;228;312;1105;2292.35;2413;-9999;-9999;0;32;0.03;0.85;1.2;1;0.002;0.005397784;-0.005076501;0.55;1.15;1;0
544;75;162;199;214;312;1105;2021.6;2128;-9999;-9999;0;35;0.02;0.85;1.7;1;0.002;0.006189764;-0.004376434;0.5;1.15;1;0
545;92;131;228;243;450;464;2432.95;2561;-9999;-9999;0;25;0.01;0.9;1.3;0.6;0.002;0.021566593;-0.013815895;0.5;1.1;1;0
546;92;162;228;243;450;969;2438.65;2567;-9999;-9999;0;35;0.02;0.85;1.6;1;0.002;0.007173329;-0.005213071;0.5;1.15;1;0
547;92;183;249;264;73;729;1617.85;1703;-9999;-9999;7;32;0.0035;0.95;2;2;0.002;0.015887002;-0.006513894;0.45;1.1;1;0
548;106;214;274;288;583;1859;2946.9;3102;-9999;-9999;0;30;0.1;0.9;1.1;2;0.002;0.001840467;-0.002987789;0.7;1.05;1;0
549;122;214;230;245;77;741;988;1040;-9999;-9999;10;30;0.01;0.85;1.6;1.5;0.002;0.011922508;-0.007094312;0.55;1.2;1;0
550;111;214;291;288;635;1809;3052.35;3213;-9999;-9999;0;30;0.4;0.5;1.8;1;0.002;0.000138665;-0.002496175;0.45;1.1;1;0
551;106;245;274;288;583;2468;2946.9;3102;-9999;-9999;0;30;0.1;0.95;2.8;4;0.002;0.001406361;-0.001423495;0.5;1.2;1;0
552;106;228;230;245;583;2144;2344.6;2468;-9999;-9999;0;30;0.006;0.85;1.2;0.4;0.002;0.00419617;-0.002483591;0.5;1.15;1;0
553;131;183;213;228;905;916;1736.6;1828;-9999;-9999;0;30;0.001;0.75;1.3;0.4;0.002;0.014714487;-0.006070419;0.5;0.8;1;0
554;61;197;335;350;223;1863;3653.7;3846;-9999;-9999;0;30;0.001;0.95;1.7;1;0.002;0.007034185;-0.002484665;0.5;1.1;1;0
