;[day of year];[day of year];[day of year];[kg N/ha];[kg N/ha];[kg N/ha];[day of year];[kg N/ha]
lu_id;DOY_Nmin1;DOY_Nmin2;DOY_Nmin3;Nmin1;Nmin2;Nmin3;DOY_Norg1;Norg1
501;-9999;-9999;-9999;0;0;0;-9999;0
502;-9999;-9999;-9999;0;0;0;-9999;0
503;-9999;-9999;-9999;0;0;0;-9999;0
504;-9999;-9999;-9999;0;0;0;-9999;0
505;-9999;-9999;-9999;0;0;0;-9999;0
506;-9999;-9999;-9999;0;0;0;-9999;0
507;-9999;-9999;-9999;0;0;0;-9999;0
508;-9999;-9999;-9999;0;0;0;-9999;0
509;-9999;-9999;-9999;0;0;0;-9999;0
510;-9999;-9999;-9999;0;0;0;-9999;0
511;-9999;-9999;-9999;0;0;0;-9999;0
512;-9999;-9999;-9999;0;0;0;-9999;0
513;-9999;-9999;-9999;0;0;0;-9999;0
514;-9999;-9999;-9999;0;0;0;-9999;0
515;-9999;-9999;-9999;0;0;0;-9999;0
516;-9999;-9999;-9999;0;0;0;-9999;0
517;-9999;-9999;-9999;0;0;0;-9999;0
518;-9999;-9999;-9999;0;0;0;-9999;0
519;-9999;-9999;-9999;0;0;0;-9999;0
520;-9999;-9999;-9999;0;0;0;-9999;0
521;-9999;-9999;-9999;0;0;0;-9999;0
522;-9999;-9999;-9999;0;0;0;-9999;0
523;100;135;-9999;100;58;0;-9999;0
524;-9999;-9999;-9999;0;0;0;-9999;0
525;152;-9999;-9999;60;0;0;114;65
526;-9999;-9999;-9999;0;0;0;-9999;0
527;-9999;-9999;-9999;0;0;0;-9999;0
528;-9999;-9999;-9999;0;0;0;-9999;0
529;-9999;-9999;-9999;0;0;0;-9999;0
530;-9999;-9999;-9999;0;0;0;-9999;0
531;-9999;-9999;-9999;0;0;0;-9999;0
532;-9999;-9999;-9999;0;0;0;-9999;0
533;-9999;-9999;-9999;0;0;0;-9999;0
534;-9999;-9999;-9999;0;0;0;-9999;0
535;-9999;-9999;-9999;0;0;0;-9999;0
536;-9999;-9999;-9999;0;0;0;-9999;0
537;-9999;-9999;-9999;0;0;0;-9999;0
538;-9999;-9999;-9999;0;0;0;-9999;0
539;152;-9999;-9999;140;0;0;114;50
540;-9999;-9999;-9999;0;0;0;-9999;0
541;-9999;-9999;-9999;0;0;0;-9999;0
542;80;126;-9999;46;30;0;-9999;0
543;80;126;-9999;46;30;0;-9999;0
544;80;126;-9999;46;30;0;-9999;0
545;-9999;-9999;-9999;0;0;0;-9999;0
546;-9999;-9999;-9999;0;0;0;-9999;0
547;-9999;-9999;-9999;0;0;0;-9999;0
548;-9999;-9999;-9999;0;0;0;-9999;0
549;-9999;-9999;-9999;0;0;0;-9999;0
550;-9999;-9999;-9999;0;0;0;-9999;0
551;-9999;-9999;-9999;0;0;0;-9999;0
552;-9999;-9999;-9999;0;0;0;-9999;0
553;-9999;-9999;-9999;0;0;0;-9999;0
554;-9999;-9999;-9999;0;0;0;-9999;0
555;-9999;-9999;-9999;0;0;0;-9999;0
556;60;91;-9999;60;70;0;-9999;0
557;60;105;-999;85;85;0;-9999;0
558;-9999;-9999;-9999;0;0;0;-9999;0
559;-9999;-9999;-9999;0;0;0;-9999;0
560;60;105;-9999;60;70;0;-9999;0
561;-9999;-9999;-9999;0;0;0;-9999;0
562;-9999;-9999;-9999;0;0;0;-9999;0
563;87;135;-9999;80;55;0;-9999;0
564;-9999;-9999;-9999;0;0;0;-9999;0
565;-9999;-9999;-9999;0;0;0;-9999;0
566;-9999;-9999;-9999;0;0;0;-9999;0
567;-9999;-9999;-9999;0;0;0;-9999;0
568;-9999;-9999;-9999;0;0;0;-9999;0
569;-9999;-9999;-9999;0;0;0;-9999;0
570;-9999;-9999;-9999;0;0;0;-9999;0
571;-9999;-9999;-9999;0;0;0;-9999;0
572;-9999;-9999;-9999;0;0;0;-9999;0
573;-9999;-9999;-9999;0;0;0;-9999;0
574;-9999;-9999;-9999;0;0;0;-9999;0
575;-9999;-9999;-9999;0;0;0;-9999;0
576;-9999;-9999;-9999;0;0;0;-9999;0
577;-9999;-9999;-9999;0;0;0;-9999;0
578;-9999;-9999;-9999;0;0;0;-9999;0
579;60;105;-9999;60;70;0;-9999;0
580;-9999;-9999;-9999;0;0;0;-9999;0
581;-9999;-9999;-9999;0;0;0;-9999;0
582;-9999;-9999;-9999;0;0;0;-9999;0
583;-9999;-9999;-9999;0;0;0;-9999;0
584;-9999;-9999;-9999;0;0;0;-9999;0
585;-9999;-9999;-9999;0;0;0;-9999;0
586;-9999;-9999;-9999;0;0;0;-9999;0
587;-9999;-9999;-9999;0;0;0;-9999;0
588;-9999;-9999;-9999;0;0;0;-9999;0
599;-9999;-9999;-9999;0;0;0;-9999;0
