lu_id;JAN;FEB;MAR;APR;MAY;JUN;JUL;AUG;SEP;OCT;NOV;DEC
0;0;0;0;0;0;0;0;0;0;0;0;0
5;0.1;0.1;0.1;0.1;0.6;1;0.9;0.6;0.3;0;0;0
6;0.2;0.2;0.2;0.3;0.4;0.7;0.8;0.8;0.8;0.3;0.2;0.2
7;0.4;0.4;0.4;0.4;0.6;0.7;0.8;0.8;0.8;0.5;0.4;0.4
8;0.4;0.4;0.6;0.8;1;1;1;1;1;0.6;0.5;0.4
9;0.4;0.4;0.6;0.8;1;1;1;1;1;0.6;0.5;0.4
10;0.1;0.1;0.5;1.4;2.5;3.9;4.3;4.3;3.9;2.8;0.5;0.1
11;2;2;2.2;2.7;3.2;3.9;4.1;4.1;3.9;3.4;2.2;2
12;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9
13;0.4;0.4;0.6;0.8;1;1;1;1;1;0.6;0.5;0.4
14;0;0;0;0;0;0;0;0;0;0;0;0
15;2;2;2.2;2.7;3.2;3.9;4.1;4.1;3.9;3.4;2.2;2
20;0;0;0;0;0;0;0;0;0;0;0;0
98;0.4;0.4;0.6;0.8;1;1.2;1.2;1;1;0.6;0.5;0.4
31;0.4;0.4;0.4;0.4;0.4;0.4;0.4;0.4;0.4;0.4;0.4;0.4
32;0.4;0.4;0.45;0.6;0.75;0.75;0.75;0.75;0.75;0.45;0.4;0.4
33;0.4;0.4;0.6;0.8;1;1;1;1;1;0.6;0.5;0.4
40;0.4;0.4;0.4;0.4;0.4;0.4;0.4;0.4;0.4;0.4;0.4;0.4
41;0.4;0.4;0.4;0.4;0.4;0.4;0.4;0.4;0.4;0.4;0.4;0.4
50;0.8;0.8;0.9;0.9;1;1;1;1;1;1;0.9;0.9
1001;0.1;0.1;0.1;0.1;0.6;1;0.9;0.6;0.3;0;0;0
1002;0.1;0.1;0.1;0.1;0.6;1;0.9;0.6;0.3;0;0;0
1003;0.1;0.1;0.1;0.1;0.6;1;0.9;0.6;0.3;0;0;0
1004;0.1;0.1;0.1;0.1;0.6;1;0.9;0.6;0.3;0;0;0
1005;0.1;0.1;0.1;0.1;0.6;1;0.9;0.6;0.3;0;0;0
