YYYY MM DD hh mm PREC
2018 1 1 0 0 0.0
2018 1 1 0 10 0.0
2018 1 1 0 20 0.0
2018 1 1 0 30 0.0
2018 1 1 0 40 0.0
2018 1 1 0 50 0.0
2018 1 1 1 0 0.0
2018 1 1 1 10 0.0
2018 1 1 1 20 0.0
2018 1 1 1 30 0.0
2018 1 1 1 40 0.0
2018 1 1 1 50 0.0
2018 1 1 2 0 0.7712703466859457
2018 1 1 2 10 0.07404465173409036
2018 1 1 2 20 0.3584657285442726
2018 1 1 2 30 0.11586905952512971
2018 1 1 2 40 0.8631034258755935
2018 1 1 2 50 0.6232981268275579
2018 1 1 3 0 0.3308980248526492
2018 1 1 3 10 0.06355835028602363
2018 1 1 3 20 0.3109823217156622
2018 1 1 3 30 0.32518332202674705
2018 1 1 3 40 0.7296061783380641
2018 1 1 3 50 0.6375574713552131
2018 1 1 4 0 0.8872127425763265
2018 1 1 4 10 0.4722149251619493
2018 1 1 4 20 0.1195942459383017
2018 1 1 4 30 0.713244787222995
2018 1 1 4 40 0.7607850486168974
2018 1 1 4 50 0.5612771975694962
2018 1 1 5 0 0.0
2018 1 1 5 10 0.0
2018 1 1 5 20 0.0
2018 1 1 5 30 0.0
2018 1 1 5 40 0.0
2018 1 1 5 50 0.0
2018 1 1 6 0 0.0
2018 1 1 6 10 0.0
2018 1 1 6 20 0.0
2018 1 1 6 30 0.0
2018 1 1 6 40 0.0
2018 1 1 6 50 0.0
2018 1 1 7 0 0.0
2018 1 1 7 10 0.0
2018 1 1 7 20 0.0
2018 1 1 7 30 0.0
2018 1 1 7 40 0.0
2018 1 1 7 50 0.0
2018 1 1 8 0 0.0
2018 1 1 8 10 0.0
2018 1 1 8 20 0.0
2018 1 1 8 30 0.0
2018 1 1 8 40 0.0
2018 1 1 8 50 0.0
2018 1 1 9 0 0.0
2018 1 1 9 10 0.0
2018 1 1 9 20 0.0
2018 1 1 9 30 0.0
2018 1 1 9 40 0.0
2018 1 1 9 50 0.0
2018 1 1 10 0 0.0
2018 1 1 10 10 0.0
2018 1 1 10 20 0.0
2018 1 1 10 30 0.0
2018 1 1 10 40 0.0
2018 1 1 10 50 0.0
2018 1 1 11 0 0.0
2018 1 1 11 10 0.0
2018 1 1 11 20 0.0
2018 1 1 11 30 0.0
2018 1 1 11 40 0.0
2018 1 1 11 50 0.0
2018 1 1 12 0 0.0
2018 1 1 12 10 0.0
2018 1 1 12 20 0.0
2018 1 1 12 30 0.0
2018 1 1 12 40 0.0
2018 1 1 12 50 0.0
2018 1 1 13 0 0.0
2018 1 1 13 10 0.0
2018 1 1 13 20 0.0
2018 1 1 13 30 0.0
2018 1 1 13 40 0.0
2018 1 1 13 50 0.0
2018 1 1 14 0 0.0
2018 1 1 14 10 0.0
2018 1 1 14 20 0.0
2018 1 1 14 30 0.0
2018 1 1 14 40 0.0
2018 1 1 14 50 0.0
2018 1 1 15 0 0.0
2018 1 1 15 10 0.0
2018 1 1 15 20 0.0
2018 1 1 15 30 0.0
2018 1 1 15 40 0.0
2018 1 1 15 50 0.0
2018 1 1 16 0 0.0
2018 1 1 16 10 0.0
2018 1 1 16 20 0.0
2018 1 1 16 30 0.0
2018 1 1 16 40 0.0
2018 1 1 16 50 0.0
2018 1 1 17 0 0.0
2018 1 1 17 10 0.0
2018 1 1 17 20 0.0
2018 1 1 17 30 0.0
2018 1 1 17 40 0.0
2018 1 1 17 50 0.0
2018 1 1 18 0 0.0
2018 1 1 18 10 0.0
2018 1 1 18 20 0.0
2018 1 1 18 30 0.0
2018 1 1 18 40 0.0
2018 1 1 18 50 0.0
2018 1 1 19 0 0.0
