YYYY MM DD hh mm PET
2018 1 1 0 0 0.7554468347907033
2018 1 2 0 0 2.307497703946366
2018 1 3 0 0 0.6857058265258918
2018 1 4 0 0 2.5929209607302917
2018 1 5 0 0 2.3119246941627263
2018 1 6 0 0 0.8667278860848204
2018 1 7 0 0 2.506600936253933
2018 1 8 0 0 1.4190743631458664
2018 1 9 0 0 2.713529293974261
2018 1 10 0 0 1.8756873678840593
2018 1 11 0 0 1.6732354945124481
2018 1 12 0 0 2.8205739059699297
2018 1 13 0 0 1.868752848976569
2018 1 14 0 0 1.891584070418268
2018 1 15 0 0 1.9510475173209674
2018 1 16 0 0 2.797292298782845
2018 1 17 0 0 1.8671838499345783
2018 1 18 0 0 1.1913621470888573
2018 1 19 0 0 2.8948784417842703
2018 1 20 0 0 3.069181212302758
2018 1 21 0 0 1.4741121589816681
2018 1 22 0 0 2.2569132229857347
2018 1 23 0 0 1.8710283193896755
2018 1 24 0 0 2.548765969504249
2018 1 25 0 0 1.3903856919714577
2018 1 26 0 0 2.997201761368411
2018 1 27 0 0 1.9048029847315795
2018 1 28 0 0 1.4926277614621022
2018 1 29 0 0 2.1280802384106323
2018 1 30 0 0 3.048853472486174
2018 1 31 0 0 3.2548142667399644
2018 2 1 0 0 3.405911886913306
2018 2 2 0 0 3.318537858209212
2018 2 3 0 0 2.301072573015639
2018 2 4 0 0 3.06095036161295
2018 2 5 0 0 3.511284083454881
2018 2 6 0 0 2.1822200473005156
2018 2 7 0 0 2.67422490164914
2018 2 8 0 0 3.3023152568373577
2018 2 9 0 0 2.34479442589221
2018 2 10 0 0 2.2693825149396423
2018 2 11 0 0 2.633027849059178
2018 2 12 0 0 3.3608993936936487
2018 2 13 0 0 2.082218152584988
2018 2 14 0 0 2.070993809842753
2018 2 15 0 0 3.914142719795637
2018 2 16 0 0 3.9183582384644366
2018 2 17 0 0 2.1177895464685337
2018 2 18 0 0 3.037476307877136
2018 2 19 0 0 2.9412597072446567
2018 2 20 0 0 2.678065928691643
2018 2 21 0 0 2.367413510563854
2018 2 22 0 0 3.224201904139635
2018 2 23 0 0 2.307326725679739
2018 2 24 0 0 2.847122440506874
2018 2 25 0 0 3.508045004959512
2018 2 26 0 0 3.9960211996116928
2018 2 27 0 0 3.8462888431956195
2018 2 28 0 0 3.535444454420136
2018 3 1 0 0 3.103561293213966
2018 3 2 0 0 2.8874777028739915
2018 3 3 0 0 3.2449166128555738
2018 3 4 0 0 4.302702976693257
2018 3 5 0 0 3.564337272681517
2018 3 6 0 0 2.7851016278727374
2018 3 7 0 0 2.9169218921169575
2018 3 8 0 0 3.6561448701984203
2018 3 9 0 0 3.877239321150805
2018 3 10 0 0 4.633816908870768
2018 3 11 0 0 4.438161626212469
2018 3 12 0 0 4.53285765309922
2018 3 13 0 0 4.088818626866773
2018 3 14 0 0 4.0886261160930255
2018 3 15 0 0 3.2702362236080633
2018 3 16 0 0 3.3449931398489543
2018 3 17 0 0 4.327244194502571
2018 3 18 0 0 3.062171748428797
2018 3 19 0 0 3.3915554163912356
2018 3 20 0 0 3.3652486104490413
2018 3 21 0 0 3.2176714935477837
2018 3 22 0 0 4.904396170964698
2018 3 23 0 0 4.578521076675882
2018 3 24 0 0 5.071687490147251
2018 3 25 0 0 4.219873475859856
2018 3 26 0 0 4.824697745653346
2018 3 27 0 0 3.7868380561144255
2018 3 28 0 0 4.9282301382407265
2018 3 29 0 0 4.871672197269728
2018 3 30 0 0 4.201577053697284
2018 3 31 0 0 4.947820172010814
2018 4 1 0 0 5.254204655548957
2018 4 2 0 0 5.05634769116961
2018 4 3 0 0 3.448587175258142
2018 4 4 0 0 5.263376223546255
2018 4 5 0 0 3.7048646235006006
2018 4 6 0 0 5.009416877318481
2018 4 7 0 0 4.8391959132195215
2018 4 8 0 0 3.9341524456317947
2018 4 9 0 0 3.8809420321139547
2018 4 10 0 0 3.732294780877319
